method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-disk,1024,1,3.036,0.322
file-disk,1024,2,1.539,0.635
file-disk,1024,3,1.305,0.748
file-disk,1024,4,1.381,0.707
file-disk,1024,5,1.476,0.661
file-disk,1024,6,1.733,0.563
file-disk,1024,7,1.450,0.674
file-disk,1024,8,1.438,0.679
file-disk,1024,9,1.933,0.505
file-disk,1024,10,3.006,0.325
file-disk,1024,11,1.468,0.665
file-disk,1024,12,1.301,0.751
file-disk,1024,13,1.377,0.709
file-disk,1024,14,1.282,0.762
file-disk,1024,15,1.372,0.712
file-disk,1024,16,1.452,0.673
file-disk,1024,17,1.406,0.695
file-disk,1024,18,1.362,0.717
file-disk,1024,19,1.362,0.717
file-disk,1024,20,1.821,0.536
file-disk,2048,1,1.270,1.538
file-disk,2048,2,1.322,1.478
file-disk,2048,3,1.613,1.211
file-disk,2048,4,1.506,1.297
file-disk,2048,5,1.267,1.542
file-disk,2048,6,1.229,1.589
file-disk,2048,7,1.314,1.486
file-disk,2048,8,2.595,0.753
file-disk,2048,9,1.243,1.571
file-disk,2048,10,1.206,1.619
file-disk,2048,11,1.574,1.241
file-disk,2048,12,1.246,1.567
file-disk,2048,13,1.284,1.521
file-disk,2048,14,1.197,1.632
file-disk,2048,15,1.321,1.479
file-disk,2048,16,3.007,0.650
file-disk,2048,17,1.476,1.323
file-disk,2048,18,1.279,1.527
file-disk,2048,19,1.314,1.487
file-disk,2048,20,1.265,1.543
file-disk,4096,1,1.396,2.798
file-disk,4096,2,1.304,2.996
file-disk,4096,3,1.617,2.416
file-disk,4096,4,1.397,2.796
file-disk,4096,5,1.496,2.611
file-disk,4096,6,1.685,2.318
file-disk,4096,7,1.793,2.179
file-disk,4096,8,1.903,2.053
file-disk,4096,9,1.628,2.400
file-disk,4096,10,2.006,1.948
file-disk,4096,11,2.153,1.814
file-disk,4096,12,1.703,2.293
file-disk,4096,13,2.927,1.335
file-disk,4096,14,3.435,1.137
file-disk,4096,15,2.359,1.656
file-disk,4096,16,1.768,2.209
file-disk,4096,17,1.728,2.260
file-disk,4096,18,1.678,2.327
file-disk,4096,19,1.689,2.312
file-disk,4096,20,1.568,2.491
file-disk,8192,1,1.666,4.691
file-disk,8192,2,2.154,3.628
file-disk,8192,3,4.107,1.902
file-disk,8192,4,2.459,3.177
file-disk,8192,5,1.298,6.021
file-disk,8192,6,1.354,5.769
file-disk,8192,7,1.364,5.728
