method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-memory,1024,1,1.958,0.499
file-memory,1024,2,1.133,0.862
file-memory,1024,3,0.988,0.988
file-memory,1024,4,1.080,0.904
file-memory,1024,5,1.135,0.861
file-memory,1024,6,1.276,0.765
file-memory,1024,7,1.120,0.872
file-memory,1024,8,1.131,0.864
file-memory,1024,9,1.395,0.700
file-memory,1024,10,0.974,1.003
file-memory,1024,11,1.036,0.943
file-memory,1024,12,0.968,1.008
file-memory,1024,13,0.983,0.993
file-memory,1024,14,0.971,1.005
file-memory,1024,15,0.973,1.004
file-memory,1024,16,0.894,1.092
file-memory,1024,17,0.957,1.021
file-memory,1024,18,0.928,1.052
file-memory,1024,19,0.935,1.045
file-memory,1024,20,0.925,1.056
file-memory,2048,1,0.938,2.082
file-memory,2048,2,0.953,2.049
file-memory,2048,3,1.021,1.912
file-memory,2048,4,1.012,1.930
file-memory,2048,5,0.934,2.092
file-memory,2048,6,0.911,2.145
file-memory,2048,7,0.936,2.087
file-memory,2048,8,0.943,2.071
file-memory,2048,9,0.913,2.138
file-memory,2048,10,0.981,1.992
file-memory,2048,11,0.948,2.061
file-memory,2048,12,0.972,2.009
file-memory,2048,13,0.934,2.092
file-memory,2048,14,0.936,2.086
file-memory,2048,15,0.890,2.195
file-memory,2048,16,0.949,2.057
file-memory,2048,17,0.946,2.065
file-memory,2048,18,0.926,2.110
file-memory,2048,19,0.982,1.989
file-memory,2048,20,0.960,2.035
file-memory,4096,1,1.040,3.756
file-memory,4096,2,0.969,4.032
file-memory,4096,3,1.093,3.575
file-memory,4096,4,1.188,3.289
file-memory,4096,5,1.151,3.394
file-memory,4096,6,1.315,2.971
file-memory,4096,7,1.310,2.982
file-memory,4096,8,1.226,3.187
file-memory,4096,9,1.321,2.956
file-memory,4096,10,1.415,2.760
file-memory,4096,11,1.136,3.439
file-memory,4096,12,1.141,3.424
file-memory,4096,13,1.083,3.605
file-memory,4096,14,1.156,3.378
file-memory,4096,15,1.271,3.073
file-memory,4096,16,1.359,2.874
file-memory,4096,17,0.907,4.306
file-memory,4096,18,0.771,5.066
file-memory,4096,19,0.772,5.062
file-memory,4096,20,0.767,5.090
file-memory,8192,1,1.280,6.102
file-memory,8192,2,1.121,6.968
file-memory,8192,3,1.098,7.117
file-memory,8192,4,0.909,8.598
file-memory,8192,5,1.660,4.707
file-memory,8192,6,0.888,8.794
file-memory,8192,7,1.081,7.230
file-memory,8192,8,0.885,8.829
file-memory,8192,9,0.922,8.477
file-memory,8192,10,0.936,8.344
file-memory,8192,11,0.871,8.967
file-memory,8192,12,0.895,8.725
file-memory,8192,13,0.914,8.547
file-memory,8192,14,0.863,9.054
file-memory,8192,15,0.905,8.634
file-memory,8192,16,0.884,8.838
file-memory,8192,17,0.890,8.782
file-memory,8192,18,0.883,8.850
file-memory,8192,19,0.920,8.489
file-memory,8192,20,0.893,8.747
file-memory,16384,1,0.877,17.807
file-memory,16384,2,0.916,17.054
file-memory,16384,3,1.015,15.388
file-memory,16384,4,1.005,15.543
file-memory,16384,5,0.901,17.343
file-memory,16384,6,0.956,16.341
file-memory,16384,7,0.923,16.935
file-memory,16384,8,0.911,17.158
file-memory,16384,9,0.991,15.772
file-memory,16384,10,1.027,15.219
file-memory,16384,11,0.922,16.948
file-memory,16384,12,1.053,14.833
file-memory,16384,13,1.047,14.924
file-memory,16384,14,1.028,15.196
file-memory,16384,15,1.122,13.925
file-memory,16384,16,1.032,15.140
file-memory,16384,17,1.194,13.089
file-memory,16384,18,1.054,14.822
file-memory,16384,19,1.040,15.017
file-memory,16384,20,1.053,14.843
file-memory,32768,1,1.013,30.862
file-memory,32768,2,1.023,30.555
file-memory,32768,3,1.089,28.703
file-memory,32768,4,1.094,28.570
file-memory,32768,5,1.059,29.500
file-memory,32768,6,1.136,27.517
file-memory,32768,7,1.043,29.968
file-memory,32768,8,1.179,26.501
file-memory,32768,9,1.045,29.907
file-memory,32768,10,1.034,30.229
file-memory,32768,11,1.024,30.532
file-memory,32768,12,1.025,30.496
file-memory,32768,13,1.046,29.869
file-memory,32768,14,1.227,25.469
file-memory,32768,15,1.250,24.999
file-memory,32768,16,1.026,30.456
file-memory,32768,17,1.048,29.818
file-memory,32768,18,1.005,31.102
file-memory,32768,19,1.214,25.734
file-memory,32768,20,0.958,32.610
file-memory,65536,1,0.919,68.021
file-memory,65536,2,0.915,68.340
file-memory,65536,3,0.903,69.233
file-memory,65536,4,0.874,71.504
file-memory,65536,5,0.867,72.129
file-memory,65536,6,0.873,71.616
file-memory,65536,7,0.871,71.726
file-memory,65536,8,0.938,66.607
file-memory,65536,9,0.861,72.608
file-memory,65536,10,0.930,67.237
file-memory,65536,11,0.895,69.855
file-memory,65536,12,0.927,67.431
file-memory,65536,13,0.880,71.013
file-memory,65536,14,0.889,70.323
file-memory,65536,15,0.873,71.575
file-memory,65536,16,0.904,69.128
file-memory,65536,17,0.865,72.296
file-memory,65536,18,0.859,72.784
file-memory,65536,19,0.888,70.356
file-memory,65536,20,0.886,70.568
file-memory,131072,1,0.979,127.676
file-memory,131072,2,1.042,120.005
file-memory,131072,3,1.036,120.685
file-memory,131072,4,1.133,110.286
file-memory,131072,5,0.907,137.785
file-memory,131072,6,0.947,132.025
file-memory,131072,7,0.983,127.183
file-memory,131072,8,0.893,139.958
file-memory,131072,9,0.954,131.033
file-memory,131072,10,0.977,127.959
file-memory,131072,11,0.888,140.706
file-memory,131072,12,0.882,141.663
file-memory,131072,13,0.870,143.754
file-memory,131072,14,0.909,137.558
file-memory,131072,15,0.937,133.404
file-memory,131072,16,0.921,135.753
file-memory,131072,17,0.911,137.231
file-memory,131072,18,0.901,138.677
file-memory,131072,19,0.931,134.306
file-memory,131072,20,0.926,134.916
file-memory,262144,1,0.980,255.232
file-memory,262144,2,0.934,267.690
file-memory,262144,3,1.007,248.159
file-memory,262144,4,1.024,244.250
file-memory,262144,5,0.953,262.421
file-memory,262144,6,0.975,256.312
file-memory,262144,7,0.938,266.394
file-memory,262144,8,0.977,255.874
file-memory,262144,9,1.030,242.758
file-memory,262144,10,0.918,272.208
file-memory,262144,11,0.932,268.228
file-memory,262144,12,0.945,264.644
file-memory,262144,13,0.952,262.662
file-memory,262144,14,0.957,261.290
file-memory,262144,15,0.946,264.247
file-memory,262144,16,0.971,257.467
file-memory,262144,17,0.953,262.456
file-memory,262144,18,0.946,264.154
file-memory,262144,19,0.963,259.740
file-memory,262144,20,0.937,266.773
file-memory,524288,1,1.038,481.503
file-memory,524288,2,0.980,510.465
file-memory,524288,3,1.066,468.878
file-memory,524288,4,1.012,493.909
file-memory,524288,5,0.987,506.393
file-memory,524288,6,0.995,502.365
file-memory,524288,7,1.086,460.317
file-memory,524288,8,1.000,499.854
file-memory,524288,9,0.982,509.424
file-memory,524288,10,1.011,494.458
file-memory,524288,11,0.989,505.710
file-memory,524288,12,0.979,510.486
file-memory,524288,13,1.027,486.835
file-memory,524288,14,0.988,505.838
file-memory,524288,15,0.995,502.744
file-memory,524288,16,0.987,506.457
file-memory,524288,17,0.996,502.218
file-memory,524288,18,1.010,494.988
file-memory,524288,19,1.036,482.762
file-memory,524288,20,0.992,503.990
file-memory,1048576,1,1.113,898.876
file-memory,1048576,2,1.125,888.560
file-memory,1048576,3,1.127,887.278
file-memory,1048576,4,1.131,884.304
file-memory,1048576,5,1.105,904.568
file-memory,1048576,6,1.079,926.784
file-memory,1048576,7,1.101,908.196
file-memory,1048576,8,1.084,922.439
file-memory,1048576,9,1.166,857.295
file-memory,1048576,10,1.224,816.965
file-memory,1048576,11,1.133,882.710
file-memory,1048576,12,1.139,877.834
file-memory,1048576,13,1.098,911.127
file-memory,1048576,14,1.086,920.987
file-memory,1048576,15,1.105,905.182
file-memory,1048576,16,1.234,810.537
file-memory,1048576,17,1.105,904.704
file-memory,1048576,18,1.170,855.006
file-memory,1048576,19,1.119,894.021
file-memory,1048576,20,1.099,910.125
file-memory,2097152,1,1.346,1486.114
file-memory,2097152,2,1.419,1409.029
file-memory,2097152,3,1.543,1295.966
file-memory,2097152,4,1.403,1425.898
file-memory,2097152,5,1.487,1344.688
file-memory,2097152,6,1.522,1313.808
file-memory,2097152,7,1.485,1346.613
file-memory,2097152,8,1.465,1364.761
file-memory,2097152,9,1.481,1350.629
