method,size_bytes,rep,elapsed_ms,throughput_mib_s
net,1024,1,32.217,0.030
net,1024,2,2.309,0.423
net,1024,3,1.330,0.734
net,1024,4,1.061,0.920
net,1024,5,1.194,0.818
net,1024,6,0.970,1.006
net,1024,7,0.855,1.142
net,1024,8,0.776,1.259
net,1024,9,1.100,0.888
net,1024,10,1.062,0.919
net,1024,11,0.954,1.024
net,1024,12,0.920,1.061
net,1024,13,1.165,0.838
net,1024,14,1.233,0.792
net,1024,15,0.798,1.223
net,1024,16,0.625,1.563
net,1024,17,0.550,1.776
net,1024,18,0.906,1.078
net,1024,19,0.642,1.520
net,1024,20,0.531,1.840
net,2048,1,0.589,3.317
net,2048,2,0.550,3.549
net,2048,3,0.512,3.812
net,2048,4,0.570,3.425
net,2048,5,0.586,3.330
net,2048,6,1.672,1.168
net,2048,7,0.521,3.748
net,2048,8,1.111,1.757
net,2048,9,0.705,2.770
net,2048,10,0.551,3.546
net,2048,11,0.480,4.070
net,2048,12,0.495,3.943
net,2048,13,0.598,3.269
net,2048,14,0.732,2.667
net,2048,15,0.613,3.188
net,2048,16,0.522,3.741
net,2048,17,0.521,3.750
net,2048,18,0.455,4.295
net,2048,19,0.462,4.231
net,2048,20,0.464,4.212
net,4096,1,0.516,7.568
net,4096,2,0.461,8.483
net,4096,3,0.487,8.021
net,4096,4,0.454,8.605
net,4096,5,0.480,8.133
net,4096,6,1.056,3.700
net,4096,7,0.462,8.460
net,4096,8,0.477,8.186
net,4096,9,0.443,8.815
net,4096,10,0.531,7.357
net,4096,11,0.465,8.403
net,4096,12,0.562,6.950
net,4096,13,0.529,7.387
net,4096,14,0.552,7.071
net,4096,15,0.867,4.507
net,4096,16,2.087,1.872
net,4096,17,0.719,5.433
net,4096,18,0.636,6.141
net,4096,19,0.626,6.237
net,4096,20,0.502,7.787
net,8192,1,1.291,6.053
net,8192,2,0.536,14.582
net,8192,3,1.268,6.160
net,8192,4,0.455,17.153
net,8192,5,0.496,15.764
net,8192,6,0.428,18.268
net,8192,7,0.445,17.571
net,8192,8,0.411,19.026
net,8192,9,0.432,18.065
net,8192,10,0.505,15.455
net,8192,11,0.446,17.520
net,8192,12,0.476,16.417
net,8192,13,0.417,18.726
net,8192,14,0.397,19.677
net,8192,15,0.405,19.292
net,8192,16,0.429,18.193
net,8192,17,0.393,19.877
net,8192,18,0.449,17.418
net,8192,19,0.395,19.799
net,8192,20,0.423,18.464
net,16384,1,0.527,29.626
net,16384,2,0.472,33.075
net,16384,3,0.492,31.766
net,16384,4,0.540,28.928
net,16384,5,0.518,30.157
net,16384,6,0.497,31.452
net,16384,7,0.468,33.408
net,16384,8,0.471,33.165
net,16384,9,0.468,33.408
net,16384,10,0.589,26.539
net,16384,11,0.516,30.259
net,16384,12,0.569,27.477
net,16384,13,0.531,29.439
net,16384,14,0.476,32.849
net,16384,15,0.500,31.245
net,16384,16,0.502,31.110
net,16384,17,0.505,30.961
net,16384,18,0.499,31.328
net,16384,19,0.520,30.055
net,16384,20,0.961,16.266
net,32768,1,0.529,59.027
net,32768,2,0.517,60.386
net,32768,3,0.571,54.685
net,32768,4,0.562,55.609
net,32768,5,0.544,57.462
net,32768,6,0.545,57.375
net,32768,7,0.540,57.888
net,32768,8,0.480,65.161
net,32768,9,0.466,67.066
net,32768,10,0.552,56.600
net,32768,11,0.578,54.035
net,32768,12,0.550,56.831
net,32768,13,0.571,54.721
net,32768,14,0.584,53.526
net,32768,15,0.547,57.138
net,32768,16,0.918,34.043
net,32768,17,0.546,57.252
net,32768,18,0.549,56.930
net,32768,19,0.541,57.759
net,32768,20,0.564,55.391
net,65536,1,0.686,91.152
net,65536,2,0.635,98.432
net,65536,3,0.650,96.111
net,65536,4,0.639,97.879
net,65536,5,0.652,95.914
net,65536,6,0.618,101.208
net,65536,7,0.606,103.135
net,65536,8,0.628,99.562
net,65536,9,0.579,107.976
net,65536,10,0.613,101.937
net,65536,11,0.673,92.879
net,65536,12,0.642,97.377
net,65536,13,0.639,97.758
net,65536,14,0.649,96.339
net,65536,15,0.624,100.187
net,65536,16,0.604,103.563
net,65536,17,0.609,102.557
net,65536,18,1.490,41.945
net,65536,19,0.827,75.544
net,65536,20,2.396,26.083
net,131072,1,0.881,141.837
net,131072,2,0.717,174.297
net,131072,3,0.650,192.296
net,131072,4,0.822,152.122
net,131072,5,0.905,138.141
net,131072,6,0.793,157.538
net,131072,7,0.791,158.078
net,131072,8,0.918,136.215
net,131072,9,0.885,141.203
net,131072,10,0.795,157.192
net,131072,11,0.789,158.378
net,131072,12,0.797,156.764
net,131072,13,0.575,217.265
net,131072,14,0.583,214.423
net,131072,15,0.738,169.281
net,131072,16,0.839,148.928
net,131072,17,0.886,141.143
net,131072,18,1.139,109.729
net,131072,19,1.303,95.936
net,131072,20,0.955,130.953
net,262144,1,1.567,159.515
net,262144,2,1.291,193.698
net,262144,3,0.944,264.948
net,262144,4,0.906,275.989
net,262144,5,0.895,279.447
net,262144,6,0.855,292.412
net,262144,7,0.911,274.336
net,262144,8,0.839,297.811
net,262144,9,0.858,291.403
net,262144,10,0.964,259.213
net,262144,11,1.074,232.748
net,262144,12,1.211,206.384
net,262144,13,1.137,219.893
net,262144,14,1.131,220.946
net,262144,15,1.114,224.341
net,262144,16,1.218,205.219
net,262144,17,2.132,117.268
net,262144,18,1.841,135.780
net,262144,19,2.068,120.868
net,262144,20,2.936,85.147
net,524288,1,2.219,225.314
net,524288,2,1.758,284.461
net,524288,3,1.558,320.950
net,524288,4,1.620,308.658
net,524288,5,1.729,289.122
net,524288,6,1.723,290.255
net,524288,7,1.688,296.128
net,524288,8,3.129,159.800
net,524288,9,1.516,329.915
net,524288,10,1.575,317.519
net,524288,11,1.340,373.076
net,524288,12,1.241,402.847
net,524288,13,1.208,414.007
net,524288,14,1.248,400.601
net,524288,15,0.871,574.163
net,524288,16,1.178,424.418
net,524288,17,1.224,408.566
net,524288,18,1.236,404.462
net,524288,19,1.278,391.262
net,524288,20,1.325,377.453
net,1048576,1,2.102,475.634
net,1048576,2,2.127,470.247
net,1048576,3,2.035,491.461
net,1048576,4,3.026,330.437
net,1048576,5,1.387,720.916
net,1048576,6,1.826,547.758
net,1048576,7,2.836,352.573
net,1048576,8,4.296,232.759
net,1048576,9,9.626,103.888
net,1048576,10,3.999,250.050
net,1048576,11,2.833,352.931
net,1048576,12,1.950,512.744
net,1048576,13,1.978,505.625
net,1048576,14,2.162,462.642
net,1048576,15,3.905,256.093
net,1048576,16,1.932,517.710
net,1048576,17,1.692,591.046
net,1048576,18,2.215,451.544
