method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-disk,1024,1,4.041,0.242
file-disk,1024,2,3.726,0.262
file-disk,1024,3,5.381,0.181
file-disk,1024,4,5.365,0.182
file-disk,1024,5,3.236,0.302
file-disk,1024,6,2.708,0.361
file-disk,1024,7,26.695,0.037
file-disk,1024,8,2.962,0.330
file-disk,1024,9,2.604,0.375
file-disk,1024,10,3.487,0.280
file-disk,1024,11,2.877,0.339
file-disk,1024,12,2.909,0.336
file-disk,1024,13,2.102,0.465
file-disk,1024,14,2.620,0.373
file-disk,1024,15,2.669,0.366
file-disk,1024,16,3.760,0.260
file-disk,1024,17,3.460,0.282
file-disk,1024,18,3.683,0.265
file-disk,1024,19,2.693,0.363
file-disk,1024,20,2.662,0.367
file-disk,2048,1,2.782,0.702
file-disk,2048,2,4.051,0.482
file-disk,2048,3,4.281,0.456
file-disk,2048,4,2.674,0.730
file-disk,2048,5,2.982,0.655
file-disk,2048,6,2.458,0.794
file-disk,2048,7,2.624,0.744
file-disk,2048,8,2.763,0.707
file-disk,2048,9,2.632,0.742
file-disk,2048,10,2.828,0.691
file-disk,2048,11,2.852,0.685
file-disk,2048,12,2.845,0.687
file-disk,2048,13,2.505,0.780
file-disk,2048,14,1.838,1.063
file-disk,2048,15,3.028,0.645
file-disk,2048,16,2.463,0.793
file-disk,2048,17,2.759,0.708
file-disk,2048,18,2.506,0.779
file-disk,2048,19,2.901,0.673
file-disk,2048,20,2.573,0.759
file-disk,4096,1,2.850,1.370
file-disk,4096,2,2.504,1.560
file-disk,4096,3,1.860,2.100
file-disk,4096,4,3.062,1.276
file-disk,4096,5,2.370,1.648
file-disk,4096,6,1.829,2.135
file-disk,4096,7,1.792,2.180
file-disk,4096,8,1.938,2.015
file-disk,4096,9,2.743,1.424
file-disk,4096,10,2.698,1.448
file-disk,4096,11,3.035,1.287
file-disk,4096,12,2.409,1.621
file-disk,4096,13,3.009,1.298
file-disk,4096,14,2.514,1.554
file-disk,4096,15,3.159,1.237
file-disk,4096,16,2.699,1.447
file-disk,4096,17,2.459,1.588
file-disk,4096,18,2.935,1.331
file-disk,4096,19,2.603,1.501
file-disk,4096,20,1.831,2.133
file-disk,8192,1,2.605,2.999
file-disk,8192,2,2.810,2.780
file-disk,8192,3,2.517,3.104
file-disk,8192,4,2.987,2.616
