method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-memory,1024,1,2.532,0.386
file-memory,1024,2,2.354,0.415
file-memory,1024,3,0.286,3.420
file-memory,1024,4,0.227,4.301
file-memory,1024,5,2.613,0.374
file-memory,1024,6,2.783,0.351
file-memory,1024,7,0.299,3.264
file-memory,1024,8,2.209,0.442
file-memory,1024,9,0.280,3.494
file-memory,1024,10,1.837,0.532
file-memory,1024,11,0.189,5.176
file-memory,1024,12,2.170,0.450
file-memory,1024,13,2.291,0.426
file-memory,1024,14,0.436,2.241
file-memory,1024,15,0.307,3.176
file-memory,1024,16,2.631,0.371
file-memory,1024,17,0.305,3.197
file-memory,1024,18,0.295,3.308
file-memory,1024,19,0.255,3.828
file-memory,1024,20,0.401,2.438
file-memory,2048,1,0.252,7.749
file-memory,2048,2,0.381,5.125
file-memory,2048,3,0.256,7.623
file-memory,2048,4,0.243,8.021
file-memory,2048,5,1.429,1.366
file-memory,2048,6,0.333,5.860
file-memory,2048,7,0.279,7.010
file-memory,2048,8,0.300,6.501
file-memory,2048,9,0.407,4.798
file-memory,2048,10,0.191,10.224
file-memory,2048,11,0.697,2.804
file-memory,2048,12,0.390,5.010
file-memory,2048,13,0.174,11.198
file-memory,2048,14,0.460,4.243
file-memory,2048,15,0.169,11.580
file-memory,2048,16,0.571,3.422
file-memory,2048,17,0.255,7.668
file-memory,2048,18,2.230,0.876
file-memory,2048,19,0.268,7.282
file-memory,2048,20,2.546,0.767
file-memory,4096,1,0.311,12.567
file-memory,4096,2,1.802,2.167
file-memory,4096,3,0.204,19.160
file-memory,4096,4,0.738,5.291
file-memory,4096,5,0.271,14.392
file-memory,4096,6,2.090,1.869
file-memory,4096,7,0.234,16.696
file-memory,4096,8,2.009,1.945
file-memory,4096,9,0.169,23.051
file-memory,4096,10,0.509,7.679
file-memory,4096,11,0.217,17.960
file-memory,4096,12,1.949,2.004
file-memory,4096,13,0.276,14.162
file-memory,4096,14,2.274,1.717
file-memory,4096,15,2.532,1.543
file-memory,4096,16,0.158,24.730
file-memory,4096,17,2.425,1.611
file-memory,4096,18,0.290,13.474
file-memory,4096,19,2.338,1.671
file-memory,4096,20,0.161,24.338
file-memory,8192,1,2.357,3.315
file-memory,8192,2,0.299,26.089
file-memory,8192,3,0.371,21.046
file-memory,8192,4,2.707,2.886
file-memory,8192,5,2.487,3.142
file-memory,8192,6,0.196,39.885
file-memory,8192,7,2.358,3.313
file-memory,8192,8,0.186,41.965
file-memory,8192,9,0.214,36.436
file-memory,8192,10,2.040,3.830
file-memory,8192,11,0.321,24.347
file-memory,8192,12,2.177,3.588
file-memory,8192,13,0.211,37.070
file-memory,8192,14,0.255,30.642
file-memory,8192,15,0.457,17.111
file-memory,8192,16,0.206,37.909
file-memory,8192,17,2.547,3.068
file-memory,8192,18,0.180,43.283
file-memory,8192,19,2.168,3.603
file-memory,8192,20,0.360,21.679
file-memory,16384,1,0.332,47.105
file-memory,16384,2,0.279,55.920
file-memory,16384,3,0.390,40.094
file-memory,16384,4,0.333,46.975
file-memory,16384,5,2.467,6.334
file-memory,16384,6,0.338,46.279
file-memory,16384,7,2.505,6.238
file-memory,16384,8,0.289,53.996
file-memory,16384,9,0.261,59.847
file-memory,16384,10,0.199,78.699
file-memory,16384,11,0.285,54.792
file-memory,16384,12,0.309,50.601
file-memory,16384,13,0.332,47.075
file-memory,16384,14,2.632,5.937
file-memory,16384,15,0.493,31.718
file-memory,16384,16,0.232,67.240
file-memory,16384,17,0.310,50.410
file-memory,16384,18,0.862,18.130
file-memory,16384,19,0.282,55.457
file-memory,16384,20,2.102,7.434
file-memory,32768,1,0.279,111.840
file-memory,32768,2,0.224,139.769
file-memory,32768,3,2.531,12.347
file-memory,32768,4,0.203,153.752
file-memory,32768,5,2.500,12.502
file-memory,32768,6,0.248,125.775
file-memory,32768,7,1.766,17.692
file-memory,32768,8,0.245,127.573
file-memory,32768,9,2.362,13.228
file-memory,32768,10,0.380,82.147
file-memory,32768,11,0.199,157.365
file-memory,32768,12,2.648,11.802
file-memory,32768,13,0.210,148.485
file-memory,32768,14,2.406,12.986
file-memory,32768,15,0.193,161.708
file-memory,32768,16,2.159,14.471
file-memory,32768,17,0.192,162.655
file-memory,32768,18,2.325,13.438
file-memory,32768,19,0.543,57.511
file-memory,32768,20,0.306,101.986
file-memory,65536,1,2.169,28.809
file-memory,65536,2,0.225,278.346
file-memory,65536,3,2.655,23.545
file-memory,65536,4,2.311,27.042
file-memory,65536,5,0.249,250.543
file-memory,65536,6,0.284,220.167
file-memory,65536,7,2.724,22.941
file-memory,65536,8,0.170,367.196
file-memory,65536,9,2.706,23.097
file-memory,65536,10,0.247,252.738
file-memory,65536,11,1.919,32.567
file-memory,65536,12,0.205,305.064
file-memory,65536,13,2.403,26.011
file-memory,65536,14,0.250,249.917
file-memory,65536,15,2.295,27.235
file-memory,65536,16,0.225,277.367
file-memory,65536,17,2.225,28.094
file-memory,65536,18,0.207,301.629
file-memory,65536,19,2.336,26.755
file-memory,65536,20,0.184,340.136
file-memory,131072,1,2.613,47.831
file-memory,131072,2,0.311,402.469
file-memory,131072,3,1.732,72.188
file-memory,131072,4,0.179,698.652
file-memory,131072,5,2.504,49.918
file-memory,131072,6,2.578,48.492
file-memory,131072,7,0.198,631.578
file-memory,131072,8,2.669,46.833
file-memory,131072,9,0.237,526.409
file-memory,131072,10,0.269,465.405
file-memory,131072,11,0.576,217.202
file-memory,131072,12,0.252,495.703
file-memory,131072,13,2.450,51.021
file-memory,131072,14,0.301,414.651
file-memory,131072,15,2.106,59.345
file-memory,131072,16,0.180,694.769
file-memory,131072,17,2.438,51.273
file-memory,131072,18,0.287,435.604
file-memory,131072,19,0.230,544.070
file-memory,131072,20,3.097,40.359
file-memory,262144,1,2.103,118.850
file-memory,262144,2,0.186,1345.895
file-memory,262144,3,2.595,96.336
file-memory,262144,4,0.192,1304.346
file-memory,262144,5,2.486,100.560
file-memory,262144,6,0.308,811.907
file-memory,262144,7,2.230,112.120
file-memory,262144,8,0.203,1233.301
file-memory,262144,9,2.122,117.788
file-memory,262144,10,0.353,708.382
file-memory,262144,11,0.251,994.364
file-memory,262144,12,3.119,80.142
file-memory,262144,13,0.349,716.589
file-memory,262144,14,2.291,109.101
file-memory,262144,15,0.329,759.398
file-memory,262144,16,0.226,1108.647
file-memory,262144,17,3.188,78.422
file-memory,262144,18,0.453,551.420
file-memory,262144,19,1.644,152.026
file-memory,262144,20,3.322,75.262
file-memory,524288,1,0.831,601.806
file-memory,524288,2,8.160,61.278
file-memory,524288,3,0.690,724.375
file-memory,524288,4,2.053,243.492
file-memory,524288,5,0.416,1203.129
file-memory,524288,6,2.033,245.892
file-memory,524288,7,0.240,2085.140
file-memory,524288,8,0.330,1514.766
file-memory,524288,9,0.322,1551.191
file-memory,524288,10,2.039,245.173
file-memory,524288,11,0.346,1444.043
file-memory,524288,12,0.235,2127.288
file-memory,524288,13,0.221,2260.316
file-memory,524288,14,0.280,1783.854
file-memory,524288,15,0.256,1953.125
file-memory,524288,16,2.329,214.692
file-memory,524288,17,0.262,1905.669
file-memory,524288,18,2.568,194.729
file-memory,524288,19,0.271,1848.429
file-memory,524288,20,0.238,2099.738
file-memory,1048576,1,2.396,417.304
file-memory,1048576,2,0.340,2942.622
file-memory,1048576,3,0.353,2834.531
file-memory,1048576,4,0.370,2705.445
file-memory,1048576,5,2.071,482.781
file-memory,1048576,6,0.323,3097.174
file-memory,1048576,7,0.445,2249.086
file-memory,1048576,8,0.298,3351.487
file-memory,1048576,9,2.017,495.868
file-memory,1048576,10,0.409,2447.477
file-memory,1048576,11,2.266,441.225
file-memory,1048576,12,0.546,1832.620
file-memory,1048576,13,0.401,2491.181
file-memory,1048576,14,2.172,460.405
file-memory,1048576,15,0.450,2220.781
file-memory,1048576,16,2.012,496.915
file-memory,1048576,17,0.329,3044.140
file-memory,1048576,18,0.258,3877.216
file-memory,1048576,19,1.799,555.942
file-memory,1048576,20,0.469,2132.956
file-memory,2097152,1,2.809,712.039
file-memory,2097152,2,0.490,4079.210
file-memory,2097152,3,0.887,2254.791
file-memory,2097152,4,0.624,3203.203
file-memory,2097152,5,2.040,980.292
file-memory,2097152,6,0.486,4116.641
file-memory,2097152,7,0.535,3737.731
file-memory,2097152,8,2.304,868.181
file-memory,2097152,9,0.397,5035.665
file-memory,2097152,10,2.411,829.531
file-memory,2097152,11,0.722,2769.922
file-memory,2097152,12,2.717,735.993
file-memory,2097152,13,0.569,3515.711
file-memory,2097152,14,2.996,667.594
file-memory,2097152,15,0.404,4944.889
file-memory,2097152,16,2.047,977.040
file-memory,2097152,17,0.393,5092.830
file-memory,2097152,18,2.168,922.385
file-memory,2097152,19,0.718,2787.456
file-memory,2097152,20,0.611,3272.203
file-memory,4194304,1,3.729,1072.566
file-memory,4194304,2,1.234,3242.040
file-memory,4194304,3,3.145,1271.708
file-memory,4194304,4,0.799,5005.475
file-memory,4194304,5,4.201,952.220
file-memory,4194304,6,1.239,3228.845
file-memory,4194304,7,2.500,1600.240
file-memory,4194304,8,1.305,3065.916
file-memory,4194304,9,3.376,1184.892
file-memory,4194304,10,0.810,4937.510
file-memory,4194304,11,3.334,1199.775
file-memory,4194304,12,1.035,3864.268
file-memory,4194304,13,3.512,1139.006
file-memory,4194304,14,3.485,1147.707
file-memory,4194304,15,1.224,3266.639
file-memory,4194304,16,3.047,1312.623
file-memory,4194304,17,0.816,4904.966
file-memory,4194304,18,2.747,1455.891
file-memory,4194304,19,0.854,4684.526
file-memory,4194304,20,2.844,1406.697
file-memory,8388608,1,4.736,1689.189
file-memory,8388608,2,2.454,3260.094
file-memory,8388608,3,5.312,1506.095
file-memory,8388608,4,2.413,3314.916
file-memory,8388608,5,2.829,2828.354
file-memory,8388608,6,2.083,3839.846
file-memory,8388608,7,4.122,1940.963
file-memory,8388608,8,2.318,3451.314
file-memory,8388608,9,3.903,2049.530
file-memory,8388608,10,1.626,4919.671
file-memory,8388608,11,3.761,2127.023
file-memory,8388608,12,1.681,4758.956
file-memory,8388608,13,1.383,5783.310
file-memory,8388608,14,3.849,2078.552
file-memory,8388608,15,2.026,3949.560
file-memory,8388608,16,3.240,2469.136
file-memory,8388608,17,2.039,3923.573
file-memory,8388608,18,2.201,3634.644
file-memory,8388608,19,1.940,4124.509
file-memory,8388608,20,3.856,2074.599
file-memory,16777216,1,8.258,1937.456
file-memory,16777216,2,4.220,3791.469
file-memory,16777216,3,6.202,2579.657
file-memory,16777216,4,3.410,4691.968
file-memory,16777216,5,7.701,2077.664
file-memory,16777216,6,4.463,3585.266
file-memory,16777216,7,5.218,3066.553
file-memory,16777216,8,3.138,5099.060
file-memory,16777216,9,6.591,2427.522
file-memory,16777216,10,3.469,4611.782
file-memory,16777216,11,5.016,3189.925
file-memory,16777216,12,3.335,4798.260
file-memory,16777216,13,6.857,2333.269
file-memory,16777216,14,3.573,4478.134
file-memory,16777216,15,6.553,2441.583
file-memory,16777216,16,3.355,4768.884
file-memory,16777216,17,6.117,2615.447
file-memory,16777216,18,4.064,3937.331
file-memory,16777216,19,7.445,2149.142
file-memory,16777216,20,3.462,4620.995
