method,size_bytes,rep,elapsed_ms,throughput_mib_s
net,1024,1,25.129,0.039
net,1024,2,1.706,0.572
net,1024,3,1.131,0.864
net,1024,4,1.053,0.928
net,1024,5,0.945,1.034
net,1024,6,0.909,1.075
net,1024,7,0.792,1.233
net,1024,8,0.779,1.253
net,1024,9,1.054,0.926
net,1024,10,0.814,1.200
net,1024,11,0.678,1.441
net,1024,12,1.009,0.968
net,1024,13,0.878,1.113
net,1024,14,0.646,1.511
net,1024,15,0.746,1.308
net,1024,16,0.751,1.300
net,1024,17,0.748,1.306
net,1024,18,0.589,1.658
net,1024,19,0.599,1.631
net,1024,20,0.411,2.378
net,2048,1,0.437,4.468
net,2048,2,0.434,4.505
net,2048,3,0.471,4.146
net,2048,4,0.438,4.457
net,2048,5,0.780,2.504
net,2048,6,0.513,3.809
net,2048,7,0.488,4.000
net,2048,8,0.435,4.486
net,2048,9,0.372,5.246
net,2048,10,0.404,4.830
net,2048,11,0.336,5.813
net,2048,12,0.331,5.893
net,2048,13,0.449,4.348
net,2048,14,0.394,4.963
net,2048,15,0.352,5.545
net,2048,16,0.390,5.013
net,2048,17,0.348,5.607
net,2048,18,0.400,4.882
net,2048,19,0.351,5.570
net,2048,20,0.402,4.860
net,4096,1,0.356,10.975
net,4096,2,0.384,10.169
net,4096,3,0.728,5.368
net,4096,4,0.379,10.319
net,4096,5,0.334,11.679
net,4096,6,0.418,9.354
net,4096,7,0.341,11.440
net,4096,8,0.329,11.867
net,4096,9,0.348,11.232
net,4096,10,0.335,11.678
net,4096,11,0.361,10.823
net,4096,12,0.364,10.735
net,4096,13,0.360,10.851
net,4096,14,0.367,10.646
net,4096,15,0.426,9.170
net,4096,16,0.349,11.190
net,4096,17,0.410,9.516
net,4096,18,0.706,5.536
net,4096,19,0.369,10.575
net,4096,20,0.345,11.335
net,8192,1,0.352,22.187
net,8192,2,0.388,20.161
net,8192,3,0.352,22.184
net,8192,4,0.353,22.134
net,8192,5,0.352,22.200
net,8192,6,0.342,22.860
net,8192,7,0.348,22.434
net,8192,8,0.343,22.755
net,8192,9,0.350,22.345
net,8192,10,0.337,23.208
net,8192,11,0.515,15.161
net,8192,12,0.351,22.255
net,8192,13,0.343,22.782
net,8192,14,0.336,23.220
net,8192,15,0.353,22.147
net,8192,16,0.357,21.863
net,8192,17,0.360,21.724
net,8192,18,0.358,21.797
net,8192,19,0.343,22.777
net,8192,20,0.349,22.359
net,16384,1,0.460,33.961
net,16384,2,0.507,30.829
net,16384,3,0.505,30.964
net,16384,4,0.442,35.361
net,16384,5,0.409,38.164
net,16384,6,0.487,32.112
net,16384,7,0.393,39.809
net,16384,8,0.427,36.557
net,16384,9,0.385,40.628
net,16384,10,0.425,36.743
net,16384,11,0.482,32.445
net,16384,12,0.389,40.184
net,16384,13,0.387,40.362
net,16384,14,0.727,21.495
net,16384,15,0.467,33.431
net,16384,16,0.417,37.433
net,16384,17,0.409,38.238
net,16384,18,0.369,42.359
net,16384,19,0.366,42.725
net,16384,20,0.355,44.004
net,32768,1,0.356,87.873
net,32768,2,0.394,79.416
net,32768,3,0.411,76.019
net,32768,4,0.431,72.471
net,32768,5,0.462,67.604
net,32768,6,0.423,73.943
net,32768,7,0.414,75.415
net,32768,8,0.391,79.983
net,32768,9,0.397,78.715
net,32768,10,0.448,69.735
net,32768,11,0.423,73.913
net,32768,12,0.382,81.815
net,32768,13,0.378,82.590
net,32768,14,0.353,88.579
net,32768,15,0.356,87.771
net,32768,16,0.418,74.798
net,32768,17,0.380,82.264
net,32768,18,0.352,88.894
net,32768,19,0.386,80.897
net,32768,20,0.370,84.421
net,65536,1,0.485,128.833
net,65536,2,0.491,127.216
net,65536,3,0.490,127.486
net,65536,4,0.452,138.313
net,65536,5,0.385,162.250
net,65536,6,0.407,153.453
net,65536,7,0.525,119.048
net,65536,8,1.566,39.919
net,65536,9,0.623,100.308
net,65536,10,0.386,161.917
net,65536,11,0.390,160.171
net,65536,12,0.372,167.954
net,65536,13,0.358,174.682
net,65536,14,0.378,165.235
net,65536,15,0.346,180.810
net,65536,16,0.350,178.529
net,65536,17,0.376,166.058
net,65536,18,0.340,183.688
net,65536,19,0.341,183.531
net,65536,20,0.336,185.828
net,131072,1,0.425,294.147
net,131072,2,0.446,280.059
net,131072,3,0.426,293.427
net,131072,4,0.446,280.452
net,131072,5,0.422,295.887
net,131072,6,0.487,256.827
net,131072,7,0.588,212.585
net,131072,8,0.414,301.690
net,131072,9,0.401,311.753
net,131072,10,0.443,281.955
net,131072,11,0.396,315.856
net,131072,12,0.439,284.765
net,131072,13,0.418,299.072
net,131072,14,0.481,260.055
net,131072,15,0.451,277.290
net,131072,16,0.449,278.113
net,131072,17,0.405,308.960
net,131072,18,0.440,283.930
net,131072,19,0.450,277.624
net,131072,20,0.436,286.369
net,262144,1,0.544,459.876
net,262144,2,0.568,440.205
net,262144,3,0.536,466.563
net,262144,4,0.648,385.951
net,262144,5,0.655,381.850
net,262144,6,0.625,399.733
net,262144,7,0.622,402.253
net,262144,8,0.643,388.551
net,262144,9,0.678,368.618
net,262144,10,0.633,395.179
net,262144,11,0.753,332.042
net,262144,12,3.740,66.845
net,262144,13,0.686,364.188
net,262144,14,0.705,354.631
net,262144,15,0.715,349.895
net,262144,16,0.644,388.148
net,262144,17,0.996,250.962
net,262144,18,0.559,447.261
net,262144,19,0.510,489.796
net,262144,20,0.498,502.386
net,524288,1,0.813,615.164
net,524288,2,0.853,585.852
net,524288,3,0.868,575.733
net,524288,4,0.961,520.562
net,524288,5,0.969,515.841
net,524288,6,0.744,671.667
net,524288,7,0.692,722.239
net,524288,8,0.709,705.301
net,524288,9,0.759,658.762
net,524288,10,0.748,668.449
net,524288,11,0.809,617.729
net,524288,12,0.830,602.500
net,524288,13,0.828,603.895
net,524288,14,0.727,687.994
